142	1	-152.9820	380.8200
143	1	-151.9160	368.7350
144	1	-150.2850	355.9680
145	1	-148.2180	343.0280
146	1	-146.6590	331.6080
147	1	-145.8320	321.1000
148	1	-146.0100	311.7790
149	1	-146.3460	301.2670
150	1	-146.5110	289.4150
151	1	-146.6120	276.6670
152	1	-146.9590	263.7100
153	1	-147.2920	251.4110
154	1	-145.9750	240.2740
155	1	-144.1720	230.3930
156	1	-141.5240	220.7170
157	1	-139.0030	210.3620
158	1	-136.1800	199.3320
159	1	-132.8620	187.8610
160	1	-129.0010	176.5350
161	1	-125.3100	166.0110
162	1	-122.5110	156.0640
163	1	-120.2790	145.8970
164	1	-118.3520	135.3580
165	1	-116.5640	124.5390
166	1	-114.6450	113.0590
167	1	-112.4120	101.0590
168	1	-109.6260	88.9694
169	1	-105.7410	78.2695
170	1	-100.4440	69.1424
171	1	-94.5825	60.6219
172	1	-89.4232	51.9193
173	1	-84.2128	43.1428
174	1	-78.6033	34.1704
175	1	-72.2728	25.4448
176	1	-65.5159	16.8423
177	1	-59.5714	8.7539
178	1	-54.2970	0.9184
179	1	-49.2153	-7.0196
180	1	-44.1635	-15.0303
181	1	-38.7194	-23.6875
182	1	-32.3758	-32.6798
183	1	-24.8928	-42.0618
184	1	-16.2387	-50.1521
185	1	-6.8480	-56.6013
186	1	2.3780	-61.4362
187	1	10.9171	-65.3903
188	1	19.2597	-69.0336
189	1	27.9039	-72.2939
190	1	37.4500	-75.2653
191	1	47.9124	-78.6102
192	1	58.4916	-83.0460
193	1	68.4660	-87.4806
194	1	77.8891	-91.5540
195	1	86.1826	-95.0922
196	1	94.6248	-98.2022
197	1	104.2240	-101.7750
198	1	115.3510	-105.6980
199	1	126.9360	-109.1240
242	2	-158.2510	376.3630
243	2	-158.6990	365.5140
244	2	-158.5000	355.3300
245	2	-157.5180	344.8450
246	2	-156.2480	333.5770
247	2	-154.8510	321.4340
248	2	-153.2080	308.8880
249	2	-151.3270	296.5380
250	2	-149.4860	284.9800
251	2	-148.0930	274.0490
252	2	-147.1980	263.0790
253	2	-146.9080	251.7330
254	2	-146.7660	240.1490
255	2	-146.6540	228.0970
256	2	-146.3920	215.6750
257	2	-145.9370	203.5430
258	2	-145.1760	191.8500
259	2	-144.0370	180.6850
260	2	-142.2950	169.8200
261	2	-139.9370	159.0820
262	2	-137.2960	148.0170
263	2	-134.4750	136.9000
264	2	-131.2910	125.7370
265	2	-127.6410	114.7030
266	2	-124.0270	104.1930
267	2	-120.2560	93.8309
268	2	-116.9590	83.1250
269	2	-114.1210	73.0564
270	2	-111.2880	62.8771
271	2	-108.4780	53.0101
272	2	-105.0740	42.9335
273	2	-101.2570	33.1144
274	2	-96.5911	23.9769
275	2	-90.7625	15.4324
276	2	-84.5424	7.5585
277	2	-78.2411	0.3219
278	2	-71.8606	-6.6370
279	2	-64.6959	-13.1005
280	2	-56.7672	-19.3292
281	2	-47.8890	-25.1978
282	2	-39.0207	-30.8175
283	2	-30.0509	-36.7986
284	2	-21.3006	-42.5240
285	2	-12.7002	-47.8689
286	2	-4.0335	-52.8863
287	2	4.8644	-57.8011
288	2	14.7167	-62.8886
289	2	24.6083	-67.1722
290	2	35.4555	-70.9690
291	2	46.3784	-73.7543
292	2	56.8403	-75.5661
293	2	66.5187	-76.8358
294	2	76.0176	-77.7269
295	2	86.1722	-78.5916
296	2	97.2205	-79.4311
297	2	108.5210	-80.5128
298	2	120.2580	-81.9927
299	2	131.8090	-83.9028
336	3	-155.2440	379.5850
337	3	-153.6290	364.6600
338	3	-152.4810	350.2670
339	3	-151.4160	337.5200
340	3	-150.0650	325.6510
341	3	-148.6320	313.7270
342	3	-146.9890	301.0340
343	3	-145.2520	287.5310
344	3	-143.6710	273.3430
345	3	-142.0550	259.2360
346	3	-140.0250	245.9810
347	3	-137.9950	233.1580
348	3	-134.8860	221.3600
349	3	-131.9400	209.0950
350	3	-129.0190	196.2250
351	3	-125.9520	183.7740
